vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2011Q3,2011-08,1934,1934,271,23247525,1290365.5823678935,0.15630173864667724,510.6104089356667,718.535677352637,13.650558428128232,0.0,0.14012409513960702,0.055505503590936825,Matured outcome usable
2011Q3,2011-09,2067,2067,308,25837650,1378954.129327275,0.15347054008891267,512.2021769104598,720.137397194001,13.637987421383649,0.0,0.1490082244799226,0.053369951575598984,Matured outcome usable
2011Q4,2011-10,2118,2118,313,27482550,1515402.2980260379,0.15472586247552914,511.3781857041957,719.2261567516525,13.909641170915958,0.0,0.147780925401322,0.05514052728098513,Matured outcome usable
2011Q4,2011-11,2232,2232,344,28332600,1652387.9086169864,0.1633492644784905,506.59779259388006,714.475358422939,14.032047491039426,0.0,0.15412186379928317,0.058321082732152585,Matured outcome usable
2011Q4,2011-12,2267,2267,431,31642500,2017089.145633791,0.17143051927977337,501.72251551297705,709.0247022496692,14.594715483017204,0.0,0.1901191001323335,0.063746200383465,Matured outcome usable
2012Q1,2012-01,2602,2602,440,34220475,2140044.751868881,0.16922915853257645,503.1593331823514,711.2851652574942,14.617171406610298,0.0,0.16910069177555725,0.06253696805403434,Matured outcome usable
2012Q1,2012-02,2560,2560,421,36058175,2256688.309944887,0.16771478254575067,503.8937568401828,710.81640625,14.501359375000002,0.0,0.164453125,0.0625846513292724,Matured outcome usable
2012Q1,2012-03,2914,2914,443,39536300,2361846.4802431497,0.1626738201243325,506.36759987374273,713.5408373369938,14.560178448867536,0.0,0.15202470830473575,0.059738682685105834,Matured outcome usable
2012Q2,2012-04,3230,3230,496,42051125,2663913.843633192,0.1712230281663582,502.1275314567648,708.921052631579,14.556340557275544,0.0,0.15356037151702787,0.06334940726635,Matured outcome usable
2012Q2,2012-05,3400,3400,569,45090825,2924453.919556535,0.1715309083573611,502.0465450251453,709.5942647058823,14.695167647058824,0.0,0.1673529411764706,0.06485696191091059,Matured outcome usable
2012Q2,2012-06,3817,3817,714,50224275,3770589.8468208527,0.19332628140205957,491.8625282158311,702.7112915902542,16.66596279800891,0.04689546764474718,0.18705789887346083,0.0750750478094677,Matured outcome usable
2012Q3,2012-07,4627,4627,819,60294525,4580890.323971627,0.19675057388495512,489.8707437441423,701.3603846985087,17.565800734817376,0.06851091419926518,0.17700453857791226,0.07597522866249676,Matured outcome usable
2012Q3,2012-08,5419,5419,884,70078650,5143150.092953378,0.19152241887340946,492.5088562740909,704.0013840191917,17.33760287875992,0.05812880605277727,0.1631297287322384,0.07339111259924924,Matured outcome usable
2012Q3,2012-09,6087,6087,951,77027750,5827113.056840632,0.19539576109745768,490.53033562609306,701.8325940528996,17.417082306554953,0.06604238541153278,0.15623459832429767,0.0756495296414686,Matured outcome usable
2012Q4,2012-10,6263,6263,962,82042125,6289235.60297481,0.1976724741682501,489.17246948164427,700.8424876257385,17.621317260098994,0.07312789398052051,0.15360051093725052,0.07665861413237175,Matured outcome usable
2012Q4,2012-11,6382,6382,1029,87696350,6819471.002816316,0.19862774067409047,488.7410620367651,699.1310717643372,17.868973675963648,0.06816045126919461,0.16123472265747416,0.07776231283076565,Matured outcome usable
2012Q4,2012-12,6066,6066,916,94090450,7422214.681615833,0.1993530063536793,488.11470129525975,695.648285525882,17.36513353115727,0.0601714474118035,0.15100560501153973,0.07888382595274901,Matured outcome usable
2013Q1,2013-01,6872,6872,1050,105074375,8418487.760775505,0.20256056616296786,486.30972869221625,693.8139551804423,17.39537252619325,0.059080325960419094,0.15279394644935973,0.0801193227252173,Matured outcome usable
2013Q1,2013-02,7561,7561,1160,120171375,9575642.055222115,0.20175557877631273,486.7216965082261,696.0062161089803,17.94566856235948,0.06612881893929375,0.1534188599391615,0.07968321952896115,Matured outcome usable
2013Q1,2013-03,8273,8273,1200,127643500,9755880.025513027,0.19671847353359154,489.40133546728754,698.7254925661791,17.61790765139611,0.061041943672186634,0.14505016318143357,0.07643068409682457,Matured outcome usable
2013Q2,2013-04,9419,9419,1504,140125775,10583003.001540387,0.19463651594596196,490.19301309146977,698.5745302049049,17.06183671302686,0.056481579785539866,0.1596772481155112,0.07552502743724619,Matured outcome usable
2013Q2,2013-05,10350,10350,1720,148036475,11652018.643664641,0.19962101266659613,487.6620265515265,695.8599516908213,17.155704347826088,0.050917874396135265,0.16618357487922705,0.07871045729550533,Matured outcome usable
2013Q2,2013-06,10899,10899,1761,158063375,12295329.753529282,0.19771697374901528,488.76025934641126,696.6279475181209,17.007166712542436,0.05037159372419488,0.16157445637214424,0.07778734165033033,Matured outcome usable
2013Q3,2013-07,11910,11910,1854,170776825,13064012.898687758,0.1962713354068187,489.27858874613514,696.9896305625525,16.892461796809403,0.047774979009235934,0.15566750629722922,0.07649757453148434,Matured outcome usable
2013Q3,2013-08,12674,12674,1941,180032675,13575156.726569764,0.19420580159463177,490.42312070075815,698.1795802430172,16.784952658986903,0.042843616853400664,0.15314817737099573,0.07540384947660064,Matured outcome usable
